Entity,Code,Year,Fertility rate,GDP per capita,Population (historical estimates),Continent
Albania,ALB,2015,1.613,11644.792,2882482,Europe
Algeria,DZA,2015,3.0414,12512.007,39543148,Africa
Angola,AGO,2015,5.7744,8058.727,28127724,Africa
Anguilla,AIA,2015,1.3627,17478.207,14554,North America
Antigua and Barbuda,ATG,2015,1.5665,16416.924,89958,North America
Argentina,ARG,2015,2.301,21197.787,43257064,South America
Armenia,ARM,2015,1.6018,11156.541,2878598,Asia
Aruba,ABW,2015,1.9721,37580.465,104269,North America
Australia,AUS,2015,1.8104,48712.19,23820240,Oceania
Austria,AUT,2015,1.491,49618.703,8642422,Europe
Azerbaijan,AZE,2015,2.1017,14581.192,9863485,Asia
Bahamas,BHS,2015,1.576,30962.688,392707,North America
Bahrain,BHR,2015,2.1311,48509.74,1362157,Asia
Bangladesh,BGD,2015,2.1142,3714.8008,157830000,Asia
Barbados,BRB,2015,1.6144,12689.137,278095,North America
Belarus,BLR,2015,1.7352,19728.426,9700609,Europe
Belgium,BEL,2015,1.6986,42891.355,11248306,Europe
Belize,BLZ,2015,2.4377,6594.8223,359884,North America
Benin,BEN,2015,5.3193,3072.4944,10932791,Africa
Bermuda,BMU,2015,1.44,49025.89,63165,North America
Bhutan,BTN,2015,1.9571,9778.855,743284,Asia
Bolivia,BOL,2015,2.886,7336.2764,11090090,South America
Botswana,BWA,2015,2.9423,15194.871,2305177,Africa
Brazil,BRA,2015,1.7772,15077.577,205188208,South America
British Virgin Islands,VGB,2015,1.1865,35163.727,29394,North America
Brunei,BRN,2015,1.9471,68632.53,421449,Asia
Bulgaria,BGR,2015,1.5345,17693.727,7309255,Europe
Burkina Faso,BFA,2015,5.4777,1716.6113,18718022,Africa
Burundi,BDI,2015,5.6951,853.4425,10727153,Africa
Cambodia,KHM,2015,2.5497,3481.1858,15417527,Asia
Cameroon,CMR,2015,4.8324,3367.5437,23012650,Africa
Canada,CAN,2015,1.5542,46945.504,35732120,North America
Cape Verde,CPV,2015,2.1174,6515.8477,552169,Africa
Cayman Islands,CYM,2015,1.2011,64717.41,60935,North America
Central African Republic,CAF,2015,6.035,872.60364,4819341,Africa
Chad,TCD,2015,6.7065,1942.6559,14140277,Africa
Chile,CHL,2015,1.7373,23214.646,17870122,South America
China,CHN,2015,1.6696,12784.436,1393715456,Asia
Colombia,COL,2015,1.8627,13796.842,47119728,South America
Comoros,COM,2015,4.4179,2988.6812,730221,Africa
Congo,COG,2015,4.5644,4702.7046,5064390,Africa
Costa Rica,CRI,2015,1.7896,16333.762,4895241,North America
Cote d'Ivoire,CIV,2015,4.8132,4541.9023,23596738,Africa
Croatia,HRV,2015,1.4025,22547.463,4254821,Europe
Curacao,CUW,2015,1.8962,23669.424,169588,North America
Cyprus,CYP,2015,1.3257,28228.88,1187286,Europe
Czechia,CZE,2015,1.5703,32746.5,10523801,Europe
Democratic Republic of Congo,COD,2015,6.437,944.79175,78656904,Africa
Denmark,DNK,2015,1.7148,47492.906,5677795,Europe
Djibouti,DJI,2015,3.0661,4751.606,1006266,Africa
Dominica,DMA,2015,1.6942,10134.615,70027,North America
Dominican Republic,DOM,2015,2.43,15161.65,10405832,North America
Ecuador,ECU,2015,2.2599,11354.9,16195904,South America
Egypt,EGY,2015,3.4364,12621.582,97723792,Africa
El Salvador,SLV,2015,2.0669,7584.579,6231072,North America
